"","Jews","Muslims","Christians"
"1",0.610294117647059,0.67281702290808,0.689706987227648
"2",0.110294117647059,0.126569538962906,0.109191084397696
"3",0.0808823529411765,0.0672385699223617,0.0718757826195843
"4",0.0441176470588235,0.0381961085018691,0.0323065364387678
"5",0.0661764705882353,0.0376210102559187,0.0473328324567994
"6",0.0367647058823529,0.0204639125850666,0.0155271725519659
"7",0.0147058823529412,0.0108789418192275,0.0117705985474581
"8",0.0147058823529412,0.00809930029713409,0.00876533934385174
"9",0,0.00603853158247867,0.0032556974705735
"10",0.0220588235294118,0.0120770631649573,0.0102679689456549
