"","V1","V2","V3","V4","V5","V6","V7","V8","V9","V10"
"1",0.111928653285195,0.113922961568168,0.114731330474156,0.0849355751128645,0.117318840201174,0.0829327755742041,0.117981161810122,0.0858552577199884,0.0842782568126378,0.0861151874414903
"2",0.455343137759139,0.0639986348426025,0.0593128329395645,0.0581607666292465,0.0611676158566494,0.0579812509438889,0.0597913827065416,0.0604917870775787,0.0615820520594099,0.0621705391853786
"3",0.525992318483138,0.0680328257920743,0.10157748897361,0.0419095981445079,0.0276122864217343,0.0457877929160996,0.0484831452034649,0.0450888709107788,0.0490345818291508,0.0464810913254413
"4",0.5618245165551,0.096252861140934,0.060468219314533,0.0379135410878997,0.0417788075064953,0.0393467378662496,0.0410386702672348,0.039624418788937,0.0403384410596121,0.0414137864130048
"5",0.677118238238069,0.0883264497606457,0.0347617593334926,0.036453710104733,0.0540003958391777,0.02080621712065,0.02306567371303,0.0205319753009134,0.0232921114359028,0.0216434691533856
"6",0.633978386798794,0.110894064988828,0.0763485142349483,0.0454721960818196,0.027557805295235,0.0162821296541752,0.0367176960212704,0.0168379432209033,0.0177176513338862,0.0181936123701397
"7",0.722708077713516,0.0916349838551198,0.0647804042842719,0.0380042762011757,0.0244804633599662,0.0294223535928136,0.00819338263567955,0.00839067953148608,0.00406095949336499,0.00832441933260606
"8",0.679145777459875,0.119719527458816,0.0777979398647912,0.0473857718094829,0.0281403886356669,0.0174235600858116,0.0108353514520908,0.00666808296749803,0.00607122090177311,0.0068123793641938
"9",0.67303328359868,0.123040368973466,0.0854134180674885,0.0487000102985135,0.0322279815414644,0.018508827026593,0.00529418867910759,0.00612915951319632,0.00377529095229587,0.00387747134919454
"10",0.677133014664351,0.122307008014844,0.079721081569059,0.0492298057543729,0.0294865770591604,0.0187139266673949,0.0106855762234623,0.00677168821451717,0.00381787616322318,0.00213344566961542
